,number,classification,timestamp,latitude,longitude,report,key_words,month,year
1410,26029,Class A,1975-07-01 12:00:00+00:00,34.45025,-82.56786, Recollection of a twilight encounter on Lake Keowee,Recollection twilight encounter Lake Keowee,7,1975
1317,3702,Class A,1975-07-01 12:00:00+00:00,42.375,-123.3833, Daytime sighting by swimmers in Wolf Creek area,Daytime sighting swimmers Wolf Creek area,7,1975
980,1341,Class A,1975-07-01 12:00:00+00:00,30.2464,-89.6111," Family witness a large, hair covered creature eating food from their garden","Family witness large, hair covered creature eating food garden",7,1975
3751,4237,Class B,1975-07-04 12:00:00+00:00,37.80531,-81.14714, Three youths have a menacing encounter near Beckley,Three youths menacing encounter near Beckley,7,1975
1449,2050,Class A,1975-07-04 12:00:00+00:00,30.61667,-95.52722, While rowing a boat across a lake in Huntsville Park witness saw a dark animal in the form of a man running away,While rowing boat across lake Huntsville Park witness saw dark animal form man running away,7,1975
2904,4763,Class B,1975-07-12 12:00:00+00:00,35.5131,-83.5582, Hikers find footprint in Great Smoky Mountains National Park,Hikers find footprint Great Smoky Mountains National Park,7,1975
718,26587,Class A,1975-07-15 12:00:00+00:00,40.54919,-85.69739, Woman recalls afternoon sighting near the outskirts of Marion,Woman recalls afternoon sighting near outskirts Marion,7,1975
1831,49019,Class A,1975-07-15 12:00:00+00:00,45.58858,-91.59938, Memory told of a close daylight encounter while playing near Mikana,Memory told close daylight encounter playing near Mikana,7,1975
942,15075,Class A,1975-07-15 12:00:00+00:00,36.67065,-93.65774, School teacher remembers his close encounter with a sasquatch while hunting near Cape Fair,School teacher remembers close encounter sasquatch hunting near Cape Fair,7,1975
313,1366,Class A,1975-07-20 12:00:00+00:00,39.26944,-106.3833, huge human-like handprint found on top of a vandalized sign,huge human-like handprint found top vandalized sign,7,1975
3508,4403,Class B,1975-07-31 12:00:00+00:00,47.40667,-122.0375, Late night encounter by young campers in Maple Valley Wa,Late night encounter young campers Maple Valley Wa,7,1975
483,40784,Class A,1975-08-01 12:00:00+00:00,30.40785,-83.96767, Memory told of a large hairy biped approaching a family as they dumped their garbage near Waukeenah,Memory told large hairy biped approaching family dumped garbage near Waukeenah,8,1975
2653,10765,Class B,1975-08-09 12:00:00+00:00,37.3817,-86.1358, Youth watches animal hiding behind trees near Nolin Lake,Youth watches animal hiding behind trees near Nolin Lake,8,1975
3444,927,Class B,1975-08-10 12:00:00+00:00,47.8498,-120.9591," Campers hear loud animal ""roars"", from inside the treeline of a clear-cut","Campers hear loud animal ""roars"", inside treeline clear-cut",8,1975
984,4681,Class A,1975-08-14 12:00:00+00:00,32.2714,-88.7496," Nighttime sighting by teens, near Meridian","Nighttime sighting teens, near Meridian",8,1975
3792,1830,Class C,1975-08-25 12:00:00+00:00,34.1288,-86.68, Two separate sighting reports of a creature,Two separate sighting reports creature,8,1975
2042,5260,Class B,1975-09-01 12:00:00+00:00,41.75611,-124.2006, Family sees prints near Crescent City,Family sees prints near Crescent City,9,1975
2344,14271,Class B,1975-09-01 12:00:00+00:00,26.0645,-81.3615, Possible tracks noticed by hunters in the Everglades outside Everglades City,Possible tracks noticed hunters Everglades outside Everglades City,9,1975
3809,3044,Class C,1975-09-10 12:00:00+00:00,43.98694,-91.33662, Second-hand report of creature looking in at woman through window,Second-hand report creature looking woman window,9,1975
92,10919,Class A,1975-09-15 12:00:00+00:00,34.87,-92.12, Youth has sighting from his backyard on Air Force Base,Youth sighting backyard Air Force Base,9,1975
3182,7954,Class B,1975-09-15 12:00:00+00:00,42.6425,-124.0255, Boater finds footprints on bank of Rogue River,Boater finds footprints bank Rogue River,9,1975
1933,4095,Class B,1975-09-20 12:00:00+00:00,34.47,-92.58, Surprise observation by two hunters on the opposite bank of the river,Surprise observation two hunters opposite bank river,9,1975
2812,40316,Class B,1975-10-01 12:00:00+00:00,46.73252,-94.68516, Memory told of a possible encounter while coon hunting near Houston,Memory told possible encounter coon hunting near Houston,10,1975
581,6983,Class A,1975-10-01 12:00:00+00:00,44.25028,-114.7503, Hunter has early morning sighting near Challis,Hunter early morning sighting near Challis,10,1975
2629,113,Class B,1975-10-01 12:00:00+00:00,37.44208,-95.35479," Son and friend find footprints. Later something stalks them along riverbank, incident retold by his father","Son friend find footprints. Later something stalks along riverbank, incident retold father",10,1975
2621,28453,Class B,1975-10-01 12:00:00+00:00,39.98705,-85.3149, Reliable military man describes childhood memory,Reliable military man describes childhood memory,10,1975
2587,40842,Class B,1975-10-11 12:00:00+00:00,37.68393,-89.48825, Memory told of a possible sighting along Happy Hollow Road near Gorham,Memory told possible sighting along Happy Hollow Road near Gorham,10,1975
1663,1724,Class A,1975-10-11 12:00:00+00:00,47.1772,-122.1852, Bonney Lake,Bonney Lake,10,1975
680,41318,Class A,1975-10-11 12:00:00+00:00,40.26916,-88.1033, Memory told of roadside sighting at night south of Rantoul,Memory told roadside sighting night south Rantoul,10,1975
1664,1730,Class A,1975-10-13 12:00:00+00:00,47.2416,-122.1833, Lake Tapps,Lake Tapps,10,1975
928,3483,Class A,1975-10-15 12:00:00+00:00,38.81124,-92.59781," Nighttime sighting outside farm house, west of Prairie Home (the town) near Pisgah Creek","Nighttime sighting outside farm house, west Prairie Home (the town) near Pisgah Creek",10,1975
1361,23771,Class A,1975-10-25 12:00:00+00:00,42.02106,-123.2725, Young hunter sees and hears a sasquatch near Applegate,Young hunter sees hears sasquatch near Applegate,10,1975
557,1270,Class A,1975-10-28 12:00:00+00:00,40.995,-91.75205," Newspaper article about ""The Lockridge Monster.""","Newspaper article ""The Lockridge Monster.""",10,1975
3738,43648,Class B,1975-11-01 12:00:00+00:00,43.425,-88.68, Memory told of possible activity while trapping in Horicon Marsh,Memory told possible activity trapping Horicon Marsh,11,1975
428,16683,Class A,1975-11-01 12:00:00+00:00,30.2809,-81.83705, Daylight sighting at edge of woods near fishing hole outside Jacksonville,Daylight sighting edge woods near fishing hole outside Jacksonville,11,1975
728,1326,Class A,1975-11-15 12:00:00+00:00,37.64103,-97.40294, Early morning sighting by a hunter,Early morning sighting hunter,11,1975
2523,3300,Class B,1975-12-06 12:00:00+00:00,38.04813,-89.30435, Trapper recalls large footprints he found while trapping near Pinckneyville,Trapper recalls large footprints found trapping near Pinckneyville,12,1975
603,2805,Class A,1975-12-15 12:00:00+00:00,38.98,-89.136," Early morning sighting of creature looking at ""something"" in the snow in Vandalia","Early morning sighting creature looking ""something"" snow Vandalia",12,1975
2445,7356,Class B,1976-01-02 12:00:00+00:00,31.98125,-80.89485, Two servicemen from Hunter Army Airfield describe tent stalking incident on uninhabited Little Tybee Island,Two servicemen Hunter Army Airfield describe tent stalking incident uninhabited Little Tybee Island,1,1976
2489,6394,Class B,1976-01-14 12:00:00+00:00,41.02174,-92.73979," Possible tracks found in snow near Albia, Iowa","Possible tracks found snow near Albia, Iowa",1,1976
1672,1925,Class A,1976-01-30 12:00:00+00:00,48.36361,-120.1211," Strong odor, crunching footsteps and large human-like tracks found in snow","Strong odor, crunching footsteps large human-like tracks found snow",1,1976
237,10775,Class A,1976-02-12 12:00:00+00:00,55.26332,-114.3957, Nighttime sighting by motorist at the Saulteaux River,Nighttime sighting motorist Saulteaux River,2,1976
3179,7658,Class B,1976-05-15 12:00:00+00:00,44.1263,-121.3338, Hiker encounters large footprints,Hiker encounters large footprints,5,1976
2792,55573,Class B,1976-06-15 12:00:00+00:00,43.55,-86.325, Long term possible Sasquatch interactions on a farm near New Era beginning in the mid 1970's,Long term possible Sasquatch interactions farm near New Era beginning mid 1970's,6,1976
1305,1635,Class A,1976-06-15 12:00:00+00:00,45.5,-118.42, Travelers watch tan-brown 5-6 foot hairy creature drink from stream with cupped hands,Travelers watch tan-brown 5-6 foot hairy creature drink stream cupped hands,6,1976
545,36006,Class A,1976-06-15 12:00:00+00:00,34.36153,-83.87177, Man recalls multiple experiences (including a daylight sighting) as a youth near Gainesville,Man recalls multiple experiences (including daylight sighting) youth near Gainesville,6,1976
3481,1684,Class B,1976-06-16 12:00:00+00:00,48.78056,-122.1483, Husband and wife harassed by unseen creatures at their camp late at night,Husband wife harassed unseen creatures camp late night,6,1976
1326,7124,Class A,1976-06-30 12:00:00+00:00,45.9957,-118.1253, Boy Scout sees part of retreating sasquatch,Boy Scout sees part retreating sasquatch,6,1976
3702,1432,Class B,1976-07-10 12:00:00+00:00,45.5258,-91.87774,   Someone or something walks by house and peers from around a tree,Someone something walks house peers around tree,7,1976
2684,23882,Class B,1976-07-14 12:00:00+00:00,32.45763,-93.36627, Woman recounts incident involving her father near town of Doyline on Lake Bistinue,Woman recounts incident involving father near town Doyline Lake Bistinue,7,1976
3731,39314,Class B,1976-07-15 12:00:00+00:00,42.86631,-87.84023, Teenagers unnerved by possible knocking in Oak Creek,Teenagers unnerved possible knocking Oak Creek,7,1976
1212,10861,Class A,1976-07-15 12:00:00+00:00,40.26494,-83.0556, Teenagers wading down the Olentangy River at night have a sighting south of Delaware,Teenagers wading Olentangy River night sighting south Delaware,7,1976
1309,2628,Class A,1976-07-15 12:00:00+00:00,44.8633,-122.6397, Family encounters upright creature while camping at Silver Falls,Family encounters upright creature camping Silver Falls,7,1976
925,1356,Class A,1976-08-01 12:00:00+00:00,38.655,-90.675, Husband and wife observe sasquatch at river's edge,Husband wife observe sasquatch river's edge,8,1976
1199,8494,Class A,1976-08-01 12:00:00+00:00,40.54605,-81.26217, A woman recounts her childhood sighting near Atwood Lake,A woman recounts childhood sighting near Atwood Lake,8,1976
755,2381,Class A,1976-08-01 12:00:00+00:00,37.89508,-84.1989, Boy has evening sighting while bike riding with brothers near Booneboro River,Boy evening sighting bike riding brothers near Booneboro River,8,1976
3026,4966,Class B,1976-08-01 12:00:00+00:00,41.31405,-81.38112," Large footprints, area of matted grass and sounds of bipedal footsteps noted along shores of Aurora Lake","Large footprints, area matted grass sounds bipedal footsteps noted along shores Aurora Lake",8,1976
3076,24435,Class B,1976-08-10 12:00:00+00:00,40.79362,-81.32337, Man sees silhouette of an 8'-9' tall creature looking back at him from a cornfield near Canton,Man sees silhouette 8'-9' tall creature looking back cornfield near Canton,8,1976
360,115,Class A,1976-08-15 12:00:00+00:00,30.98555,-85.6489, Young girls have daylight sighting near their home,Young girls daylight sighting near home,8,1976
1304,1318,Class A,1976-08-25 12:00:00+00:00,44.39104,-118.9491, Early evening sighting in Canyon City,Early evening sighting Canyon City,8,1976
2084,10718,Class B,1976-09-01 12:00:00+00:00,37.83074,-119.4626, Campers hear a vocalization near Tenaya Lake,Campers hear vocalization near Tenaya Lake,9,1976
1349,11016,Class A,1976-09-01 12:00:00+00:00,42.1533,-123.5381, Young witness has encounter during thunderstorm near Cave Junction,Young witness encounter thunderstorm near Cave Junction,9,1976
1200,8587,Class A,1976-09-01 12:00:00+00:00,41.02572,-81.77677," A childhood encounter just outside of Wadsworth, Ohio","A childhood encounter outside Wadsworth, Ohio",9,1976
2825,1132,Class B,1976-09-01 12:00:00+00:00,39.1405,-91.419, Witness noticed creature was human shaped,Witness noticed creature human shaped,9,1976
274,8576,Class A,1976-09-15 12:00:00+00:00,50.5697,-96.17149, Man recalls seeing a sasquatch in the early evening near Great Falls,Man recalls seeing sasquatch early evening near Great Falls,9,1976
116,57471,Class A,1976-09-15 12:00:00+00:00,34.92336,-92.30519, Memory told of a close daylight encounter with a white Bigfoot while riding a motorcycle inside Camp Joseph T. Robinson,Memory told close daylight encounter white Bigfoot riding motorcycle inside Camp Joseph T. Robinson,9,1976
1776,28788,Class A,1976-09-15 12:00:00+00:00,47.17295,-122.2214, Memory told of close encounter with a sasquatch while picking up clay pigeons near Sumner,Memory told close encounter sasquatch picking clay pigeons near Sumner,9,1976
645,28545,Class A,1976-09-18 12:00:00+00:00,39.7721,-89.4691, Man tells of the strange occurrences and his sighting as a teenager near Buckhart,Man tells strange occurrences sighting teenager near Buckhart,9,1976
1450,2159,Class A,1976-10-01 12:00:00+00:00,32.58125,-94.86958, Sighting by a man on horseback of two large creatures near Gladewater,Sighting man horseback two large creatures near Gladewater,10,1976
515,14525,Class A,1976-10-08 12:00:00+00:00,31.24842,-83.13654, Evening encounter with fisherman laying catfish lines on the Alapaha River,Evening encounter fisherman laying catfish lines Alapaha River,10,1976
1591,30462,Class A,1976-10-15 12:00:00+00:00,36.5587,-79.36079, Witness remembers several incidents including a close encounter on a dark road near Danville,Witness remembers several incidents including close encounter dark road near Danville,10,1976
951,23836,Class A,1976-10-20 12:00:00+00:00,38.73802,-90.53249, Several incidents experienced by father and son outside St. Louis,Several incidents experienced father son outside St. Louis,10,1976
1153,4837,Class A,1976-11-01 12:00:00+00:00,41.81902,-80.58163, Rabbit hunter witness's a massive creature running through the woods,Rabbit hunter witness's massive creature running woods,11,1976
1019,6267,Class A,1976-11-15 12:00:00+00:00,35.18637,-78.63611, Two young men are confronted in broad daylight by a large creature near Falcon,Two young men confronted broad daylight large creature near Falcon,11,1976
3366,51180,Class B,1976-11-30 12:00:00+00:00,32.75,-97.75, Man recalls strange occurrences as a youngster in Weatherford,Man recalls strange occurrences youngster Weatherford,11,1976
2911,13378,Class B,1976-12-12 12:00:00+00:00,36.134,-80.66," Menacing commotion at night, tracks in snow the next morning, out Yadkinville","Menacing commotion night, tracks snow next morning, Yadkinville",12,1976
3354,35721,Class B,1976-12-23 12:00:00+00:00,32.84,-97.445, Recollection of hearing frightening vocalizations in the Fort Worth Nature Center,Recollection hearing frightening vocalizations Fort Worth Nature Center,12,1976
863,20457,Class A,1977-01-01 12:00:00+00:00,46.34575,-85.95865, Nighttime sighting by Air Force personnel near Seney National Wildlife Refuge,Nighttime sighting Air Force personnel near Seney National Wildlife Refuge,1,1977
1145,4556,Class A,1977-01-01 12:00:00+00:00,41.34728,-84.54476, Midnight sighting by motorist on Coy Rd,Midnight sighting motorist Coy Rd,1,1977
2057,7097,Class B,1977-01-10 12:00:00+00:00,37.81269,-119.8609, Campers hear late night vocalizations at Carlon Station,Campers hear late night vocalizations Carlon Station,1,1977
1107,374,Class A,1977-02-01 12:00:00+00:00,39.88653,-81.27132, Two women driving to work are surprised to see a very large hair covered biped running along the side of their car,Two women driving work surprised see large hair covered biped running along side car,2,1977
2852,27341,Class B,1977-03-15 12:00:00+00:00,37.5656,-92.1426, Childhood memory of a figure filling the window of her home near Evening Shade,Childhood memory figure filling window home near Evening Shade,3,1977
1320,4595,Class A,1977-03-19 12:00:00+00:00,44.23861,-122.0505," Late night sighting by family along Hwy 126, near McKenzie Bridge","Late night sighting family along Hwy 126, near McKenzie Bridge",3,1977
981,1342,Class A,1977-04-30 12:00:00+00:00,32.3372,-88.74805," Child sees a large, dark face staring at him from the bushes","Child sees large, dark face staring bushes",4,1977
3210,21154,Class B,1977-05-01 12:00:00+00:00,44.15568,-121.9531, Couple has possible daylight encounter near Proxy Falls,Couple possible daylight encounter near Proxy Falls,5,1977
305,1075,Class A,1977-05-01 12:00:00+00:00,38.49833,-107.8833, Teens fire at big black thing peeking in window of home,Teens fire big black thing peeking window home,5,1977
849,7399,Class A,1977-05-15 12:00:00+00:00,41.93,-84.35389, Large Hairy Arm Knocks in Window Screen,Large Hairy Arm Knocks Window Screen,5,1977
1159,4970,Class A,1977-05-18 12:00:00+00:00,39.70042,-84.62567, Case report about a sighting by a boy and local rumors about a bigfoot in area,Case report sighting boy local rumors bigfoot area,5,1977
2923,33358,Class B,1977-05-21 12:00:00+00:00,34.79914,-77.10508, Military officer recalls possible daylight sighting while driving in the Croatan National Forest,Military officer recalls possible daylight sighting driving Croatan National Forest,5,1977
3445,928,Class B,1977-05-22 12:00:00+00:00,47.4644,-120.6705, Hikers find tracks and a possible nest,Hikers find tracks possible nest,5,1977
1113,1625,Class A,1977-06-01 12:00:00+00:00,40.38609,-82.69884, Children have daytime close encounter near Sparta; UPDATED with Witness Sketch,Children daytime close encounter near Sparta; UPDATED Witness Sketch,6,1977
1066,22905,Class A,1977-06-03 12:00:00+00:00,40.18478,-74.72261, Man recalls sighting as a young boy on his way to go fishing in John A. Roebling Park near Bordentown,Man recalls sighting young boy way go fishing John A. Roebling Park near Bordentown,6,1977
720,29032,Class A,1977-06-15 12:00:00+00:00,39.45697,-85.5481, Memory told of a mid-afternoon encounter along the Flatrock River,Memory told mid-afternoon encounter along Flatrock River,6,1977
3211,22570,Class B,1977-07-01 12:00:00+00:00,43.6744,-123.2675, Family hears loud whooping for three consecutive nights near Drain,Family hears loud whooping three consecutive nights near Drain,7,1977
2047,5637,Class B,1977-07-01 12:00:00+00:00,41.31917,-123.1778, Campers have frightening experience in the Marble Mountains Wilderness,Campers frightening experience Marble Mountains Wilderness,7,1977
2028,4366,Class B,1977-07-01 12:00:00+00:00,38.45861,-120.0397, Hikers have late night experience near Spicer,Hikers late night experience near Spicer,7,1977
155,1510,Class A,1977-07-01 12:00:00+00:00,38.04806,-119.2642, Brothers have early evening sighting near Lee Vining,Brothers early evening sighting near Lee Vining,7,1977
763,2430,Class A,1977-07-01 12:00:00+00:00,37.37814,-83.25562,"  Incident near a horse corral in the mountains of eastern Kentucky, 10 miles north of Hazard","Incident near horse corral mountains eastern Kentucky, 10 miles north Hazard",7,1977
337,10533,Class A,1977-07-04 12:00:00+00:00,38.826,-105.1146, Hikers have daylight sighting west of Pikes Peak,Hikers daylight sighting west Pikes Peak,7,1977
1068,29336,Class A,1977-07-09 12:00:00+00:00,41.13498,-74.80315, Recollection of a late night road crossing while driving near Branchville,Recollection late night road crossing driving near Branchville,7,1977
997,1614,Class A,1977-07-14 12:00:00+00:00,46.97694,-113.8381, Young horseback rider has a face-to-face encounter in the Rattlesnake Wilderness Area,Young horseback rider face-to-face encounter Rattlesnake Wilderness Area,7,1977
3168,5350,Class B,1977-07-15 12:00:00+00:00,44.8623,-122.2728, College students get approached by sasquatch and shoot at it,College students get approached sasquatch shoot,7,1977
3119,2789,Class B,1977-07-15 12:00:00+00:00,35.00278,-95.34111, Camper says a sasquatch entered a cabin of sleeping girls,Camper says sasquatch entered cabin sleeping girls,7,1977
809,1460,Class A,1977-07-15 12:00:00+00:00,31.1375,-92.4976, Two Large Creatures Were Seen Coming Out of Creek,Two Large Creatures Were Seen Coming Out Creek,7,1977
1654,1682,Class A,1977-07-29 12:00:00+00:00,46.803,-122.4133, Young boy awakened by a loud roaring scream (Part 3,Young boy awakened loud roaring scream (Part 3,7,1977
2467,24393,Class B,1977-07-30 12:00:00+00:00,31.30062,-84.02254," Man remembers a late night ""camp-circling"" along with several other young Marines outside of Albany","Man remembers late night ""camp-circling"" along several young Marines outside Albany",7,1977
561,1630,Class A,1977-08-01 12:00:00+00:00,43.17215,-92.76577, Separate Iowa incidents over time in Floyd County area,Separate Iowa incidents time Floyd County area,8,1977
175,7555,Class A,1977-08-01 12:00:00+00:00,40.8875,-122.3775, Two Young Fishermen Have Mid-day Encounter at Lake Shasta,Two Young Fishermen Have Mid-day Encounter Lake Shasta,8,1977
1697,4583,Class A,1977-08-14 12:00:00+00:00,47.6181,-121.3114," Early afternoon sighting by motorist on US Hwy 2, near Skykomish","Early afternoon sighting motorist US Hwy 2, near Skykomish",8,1977
922,1148,Class A,1977-08-15 12:00:00+00:00,37.9939,-93.8794," Family camping encounter large, fur covered creature. Footprints are discovered at the campsite","Family camping encounter large, fur covered creature. Footprints discovered campsite",8,1977
914,496,Class A,1977-08-15 12:00:00+00:00,37.8597,-91.432, Campers see large figure cross river in moonlight,Campers see large figure cross river moonlight,8,1977
1021,7393,Class A,1977-08-15 12:00:00+00:00,35.91965,-80.6282, Teenage boys have sighting at night near Lake Myers,Teenage boys sighting night near Lake Myers,8,1977
1456,4137,Class A,1977-08-15 12:00:00+00:00,31.11611,-98.055, Hairy 7-8' tall creature confronts fisherman in moonlight,Hairy 7-8' tall creature confronts fisherman moonlight,8,1977
996,1530,Class A,1977-08-16 12:00:00+00:00,46.76472,-111.8861, Fly Fisherman sees a hairy bipedal creature while trout fishing,Fly Fisherman sees hairy bipedal creature trout fishing,8,1977
3389,25233,Class B,1977-08-22 12:00:00+00:00,40.9744,-111.8189, Bowhunter recalls hearing possible intimidation at night while returning to camp in Farmington Canyon,Bowhunter recalls hearing possible intimidation night returning camp Farmington Canyon,8,1977
1665,1749,Class A,1977-08-27 12:00:00+00:00,48.8178,-122.1656, Three brownish figures seen moving on nearby foothill,Three brownish figures seen moving nearby foothill,8,1977
2488,5072,Class B,1977-09-01 12:00:00+00:00,42.9074,-94.3841, Witness reports seeing footprints as a child,Witness reports seeing footprints child,9,1977
927,2180,Class A,1977-09-01 12:00:00+00:00,37.11433,-93.71506, Two sisters witness bipedal animal walk through yard,Two sisters witness bipedal animal walk yard,9,1977
2793,9796,Class B,1977-09-03 12:00:00+00:00,46.69303,-92.49979, Man recalls multiple witness incident as a teenager camping south of Cloquet,Man recalls multiple witness incident teenager camping south Cloquet,9,1977
1555,3022,Class A,1977-09-15 12:00:00+00:00,40.028,-110.9315," Nighttime encounter with campers near Duchesne, in Timber Canyon","Nighttime encounter campers near Duchesne, Timber Canyon",9,1977
837,1811,Class A,1977-09-15 12:00:00+00:00,43.59611,-84.42722," Witness and cousin see ""hairy brown man-like creature"" watching them","Witness cousin see ""hairy brown man-like creature"" watching",9,1977
75,4093,Class A,1977-09-25 12:00:00+00:00,36.19791,-91.1125, Daytime sighting between Pocahontas and Imboden,Daytime sighting Pocahontas Imboden,9,1977
2581,39852,Class B,1977-09-26 12:00:00+00:00,38.74784,-90.14547, Memory told of a possible sighting while parked in a car near Granite City,Memory told possible sighting parked car near Granite City,9,1977
253,13232,Class A,1977-09-30 12:00:00+00:00,54.23708,-122.0064, Daylight sighting near Prince George,Daylight sighting near Prince George,9,1977
3631,28197,Class B,1977-10-01 12:00:00+00:00,46.98578,-122.6997, Man recalls his possible nighttime encounter while instructing at Ft. Lewis,Man recalls possible nighttime encounter instructing Ft. Lewis,10,1977
2003,1955,Class B,1977-10-01 12:00:00+00:00,38.19753,-119.9811, Witness reports loud screaming near Strawberry,Witness reports loud screaming near Strawberry,10,1977
376,726,Class A,1977-10-05 12:00:00+00:00,29.0599,-82.05835, A hitchhiker reports seeing a bigfoot in a forested area off U.S. 441,A hitchhiker reports seeing bigfoot forested area U.S. 441,10,1977
1376,11506,Class A,1977-10-15 12:00:00+00:00,41.91826,-80.54177, Youth watches while bipedal creature pushes down trees,Youth watches bipedal creature pushes trees,10,1977
1559,16470,Class A,1977-10-19 12:00:00+00:00,41.43135,-111.4988, Husband and wife recall daylight sighting while scouting for deer near Cave Spring off of Monte Cristo,Husband wife recall daylight sighting scouting deer near Cave Spring Monte Cristo,10,1977
493,47378,Class A,1977-10-21 12:00:00+00:00,28.09538,-82.74918, Memory told of a close nighttime encounter while hunting rabbits in a rural backyard near Palm Harbor,Memory told close nighttime encounter hunting rabbits rural backyard near Palm Harbor,10,1977
2574,36702,Class B,1977-10-22 12:00:00+00:00,40.82546,-88.50196, Memory told of a possible sighting at dawn by a hunter in his tree stand southeast of Pontiac,Memory told possible sighting dawn hunter tree stand southeast Pontiac,10,1977
3032,4975,Class B,1977-10-31 12:00:00+00:00,38.77727,-83.18179, Sighting at Camp Oyo Boy Scout Camp on Rt. 125,Sighting Camp Oyo Boy Scout Camp Rt. 125,10,1977
437,21951,Class A,1977-11-15 12:00:00+00:00,25.51665,-80.43689, Man describes figure looking into window outside Homestead,Man describes figure looking window outside Homestead,11,1977
811,1501,Class A,1977-11-15 12:00:00+00:00,32.8057,-92.40895," Two witnesses see a large, black creature while loading firewood on a truck","Two witnesses see large, black creature loading firewood truck",11,1977
377,728,Class A,1977-11-15 12:00:00+00:00,29.1951,-81.90875," a close-range, daytime sighting by a 67-year-old Baptist minister","close-range, daytime sighting 67-year-old Baptist minister",11,1977
730,1332,Class A,1977-11-25 12:00:00+00:00,37.192,-95.7455," newspaper article about a sighting by a jogger. Later, a sherif deputy found a track at the scene of the incident","newspaper article sighting jogger. Later, sherif deputy found track scene incident",11,1977
2689,20562,Class B,1977-12-15 12:00:00+00:00,41.73125,-70.48792, Man describes possible sighting in childhood near Sandwich,Man describes possible sighting childhood near Sandwich,12,1977
828,8717,Class A,1977-12-17 12:00:00+00:00,42.6688,-71.9023, Snowmobilers have daylight sighting near Ashburnham,Snowmobilers daylight sighting near Ashburnham,12,1977
1671,1880,Class A,1977-12-29 12:00:00+00:00,48.1278,-121.7692, Man and his children find large barefoot tracks in snow,Man children find large barefoot tracks snow,12,1977
2013,2887,Class B,1977-12-30 12:00:00+00:00,38.19753,-119.9811," Loud, High-pitched Animal Screams Heard Outside a Cabin Late at Night","Loud, High-pitched Animal Screams Heard Outside Cabin Late Night",12,1977
2536,15895,Class B,1977-12-31 12:00:00+00:00,37.72735,-88.9487," Possible vocalization heard in Marion, Illinois","Possible vocalization heard Marion, Illinois",12,1977
1126,3293,Class A,1978-01-01 12:00:00+00:00,40.4764,-82.80257," Three fox hunters witness a ""Freak of nature bear"" step over a fence and walk into a thicket","Three fox hunters witness ""Freak nature bear"" step fence walk thicket",1,1978
442,24032,Class A,1978-01-01 12:00:00+00:00,27.7752,-81.9755, Multiple witness motorist sighting in daylight at the edge of the Alafia River,Multiple witness motorist sighting daylight edge Alafia River,1,1978
1203,8836,Class A,1978-02-05 12:00:00+00:00,41.44442,-81.20629," Brothers have sighting in their backyard during the ""Blizzard of 1978.""","Brothers sighting backyard ""Blizzard 1978.""",2,1978
1350,11147,Class A,1978-02-15 12:00:00+00:00,46.2262,-124.0133, Storm watchers on tower observe animal on beach,Storm watchers tower observe animal beach,2,1978
724,1312,Class A,1978-02-23 12:00:00+00:00,37.0504,-95.0802,"  Chief of police in Chetopa finds two and a half miles of tracks that measured 17 inches in length, 5 5/8 in width. Thousands of curious people came out to look at the tracks. The incident was reported on the local TV news","Chief police Chetopa finds two half miles tracks measured 17 inches length, 5 5/8 width. Thousands curious people came look tracks. The incident reported local TV news",2,1978
2023,3612,Class B,1978-04-01 12:00:00+00:00,38.90222,-121.0803," Two fishermen have truck shaken early one morning, outside of Auburn","Two fishermen truck shaken early one morning, outside Auburn",4,1978
2539,23760,Class B,1978-04-02 12:00:00+00:00,37.78048,-89.45728, Memory told of possible vocalizations and rocks thrown at Lake Kinkaid,Memory told possible vocalizations rocks thrown Lake Kinkaid,4,1978
13,799,Class A,1978-04-15 12:00:00+00:00,34.92855,-87.1105," Person fishing recounts story of his encounter with a large, bipedal creature that was wading in the water","Person fishing recounts story encounter large, bipedal creature wading water",4,1978
682,41916,Class A,1978-04-21 12:00:00+00:00,37.68485,-89.49155, Memory told of daylight sighting while mushroom hunting along Happy Hollow Road near Gorham,Memory told daylight sighting mushroom hunting along Happy Hollow Road near Gorham,4,1978
1647,1651,Class A,1978-04-29 12:00:00+00:00,45.62778,-122.0194," Daylight observation from Beacon Rock, along the Columbia River","Daylight observation Beacon Rock, along Columbia River",4,1978
3485,1731,Class B,1978-04-30 12:00:00+00:00,47.0945,-122.0874, 25-50 Footprints found near Orting,25-50 Footprints found near Orting,4,1978
2520,2901,Class B,1978-05-01 12:00:00+00:00,39.115,-89.952, Couple in car terrified by loud howl/scream near Carlinville,Couple car terrified loud howl/scream near Carlinville,5,1978
1887,1241,Class A,1978-05-15 12:00:00+00:00,44.49817,-109.6824, Two gov't geologists witness hominoid creature cross road about 30 min. east of Yellowstone Park's East Gate,Two gov't geologists witness hominoid creature cross road 30 min. east Yellowstone Park's East Gate,5,1978
1119,2450,Class A,1978-06-01 12:00:00+00:00,39.78594,-82.29162," While hiking with friends, eleven year old girl almost runs into 6' hairy creature","While hiking friends, eleven year old girl almost runs 6' hairy creature",6,1978
163,3421,Class A,1978-06-01 12:00:00+00:00,39.21278,-120.8908, Family has unusual experience outside Grass Valley,Family unusual experience outside Grass Valley,6,1978
